class2,start_date,assignment_type,is_checked_for_biases,Final_assignment_date,%_scores_per_class
AR (4.1),2/4/2018,Final assignment,TRUE,1-Feb-18,18/27 (66%)
AR (4.2),2/4/2018,Final assignment,TRUE,1-Feb-18,28/31 (90%)
AR (4.3),2/4/2018,Final assignment (predefined),TRUE,1-Feb-18,
AR (4.4),2/4/2018,Final assignment (predefined),TRUE,1-Feb-18,
GB-1 (4.1),1/25/2018,Final assignment (predefined),TRUE,23-Jan-18,31/32 (96%)
GB-1 (4.4),1/25/2018,Final assignment (predefined),TRUE,23-Jan-18,31/33 (93%)
KO (4.1),2/4/2018,Final assignment,TRUE,30-Jan-18,32/32 (100%)
KO (4.2),2/4/2018,Final assignment,TRUE,1-Feb-18,15/28 (53%)
KO (4.3),2/1/2018,Final assignment,TRUE,30-Jan-18,27/30 (90%)
MUZ (4.1),2/6/2018,Final assignment,TRUE,1-Feb-18,24/24 (100%)
MUZ (4.2),2/6/2018,Final assignment,TRUE,1-Feb-18,22/23 (95%)
NZ (4.1),1/24/2018,Final assignment,TRUE,23-Jan-18,29/30 (96%)
NZ (4.2),1/24/2018,Final assignment,TRUE,23-Jan-18,27/28 (96%)
RL (4.1),2/11/2018,Final assignment,TRUE,30-Jan-18,22/25 (88%)
RL (4.2),2/15/2018,Final assignment,TRUE,23-Jan-18,26/26 (100%)
SD (5.1),3/7/2018,Final assignment,TRUE,30-Jan-18,27/30 (90%)
SD (5.2),3/7/2018,Final assignment,TRUE,30-Jan-18,29/31 (93%)
SP (4.2),1/23/2018,Final assignment,TRUE,30-Jan-18,36/37 (97%)
SP (4.3),1/23/2018,Final assignment,TRUE,22-Jan-18,37/37 (100%)
MR (4.1),2/18/2018,Final assignment,TRUE,14-Feb-18,0/32 (0%)
last_update,,04:28.0,,,
with_file,,15.2.18.csv,,,
drive_file,,a,,,
